,idno,author-name,author-gender,title,year,supergenre,genre,genre-subtitle,availability,genre-label,narrative-perspective,narrator,protagonist-gender,setting,subgenre,subsubgenre,decade
nl0002,nl0002,Payro,male,Moreira,1910,narrative,novel,n.av.,publicdomain,divertidas aventuras,n.av.,n.av.,n.av.,n.av.,costumbrista,n.av.,1910s
nl0003,nl0003,Payro,male,Laucha,1906,narrative,short novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,costumbrista,n.av.,1900s
nl0004,nl0004,Payro,male,Inca,1905,narrative,novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,historical,n.av.,1900s
nl0011,nl0011,Cambaceres,male,Rumbo,1885,narrative,novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,naturalistic,n.av.,1880s
nl0012,nl0012,Cambaceres,male,Sangre,1887,narrative,novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,naturalistic,n.av.,1880s
nl0021,nl0021,Frias,male,Miserias,1916,narrative,novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,autobiographical,n.av.,1910s
nl0022,nl0022,Frias,male,Tomochic,1892,narrative,novel,n.av.,publicdomain,novela histórica mexicana,n.av.,n.av.,n.av.,n.av.,social,n.av.,1890s
nl0029,nl0029,Sicardi,male,Extrano,1894,narrative,novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,naturalistic,n.av.,1890s
nl0031,nl0031,Sicardi,male,Paloche,1899,narrative,novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,naturalistic,n.av.,1890s
nl0033,nl0033,Sicardi,male,Justicia,1902,narrative,novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,naturalistic,n.av.,1900s
nl0034,nl0034,Cambaceres,male,Musica,1884,narrative,novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,naturalistic,n.av.,1880s
nl0046,nl0046,Ocantos,male,Promision,1897,narrative,novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,family,n.av.,1890s
nl0047,nl0047,Ocantos,male,Quilito,1891,narrative,novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,family,n.av.,1890s
nl0048,nl0048,Ocantos,male,Perfecto,1902,narrative,novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,family,n.av.,1900s
nl0053,nl0053,Gutierrez,male,Moreira,1880,narrative,novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,gaucho,n.av.,1880s
nl0054,nl0054,Gutierrez,male,Chacho,1884,narrative,novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,gaucho,n.av.,1880s
nl0055,nl0055,Gutierrez,male,Montoneros,1884,narrative,novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,gaucho,n.av.,1880s
nl0081,nl0081,Bunge,male,Sangre,1904,narrative,novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,historical,n.av.,1900s
nl0082,nl0082,Bunge,male,Perez,1907,narrative,short novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,sentimental,n.av.,1900s
nl0111,nl0111,Bunge,male,Grande,1907,narrative,short novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,historical,n.av.,1900s
nl0123,nl0123,Frias,male,Realidades,1896,narrative,short novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,social,n.av.,1890s
nl0129,nl0129,Cuellar,male,Fuerenos,1883,narrative,short novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,costumbrista,n.av.,1880s
nl0130,nl0130,Cuellar,male,NocheBuena,1890,narrative,short novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,costumbrista,n.av.,1890s
nl0131,nl0131,Cuellar,male,BaileCochino,1885,narrative,novel,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,costumbrista,n.av.,1880s
